ProjectID,Complexiteit,Marktsegment,Gebied,Projectomschrijving,Projectmanager,Portfolio,Prognose eindstand,besteed,budget_ratio,Plandatum,Klanteis,HaalbaarheidBoolean,slack_days,risico_count,sum_ev_geld,avg_kans,n_tvps,total_tvp_hours,avg_tvp_hours,primary_geo,primary_tesi,n_taken,budget_alle_jaren
R-601800,Laag,Civiel,Zuid,Haalbaarheid geluidsscherm ontwikkelloca,Kees Uittenboogaard,Zuid,7545.0,7545.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-616800,Laag,,Randstad-Noord,Haarlem verplaatsen RIP,Albert Schoof,Randstad-Noord,19453.0,19453.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-633300,Laag,,Noord-Oost,Hengelo FW spoor 337,Hendria Vos,Noord-Oost,15102.0,5648.0,0.37399019997351346,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-601400,Midden,Transfer,Randstad-Noord,Hilversum station Uitbreiding,Bart Hofsink,Stationsprojecten,,,,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-601700,Midden,Civiel,Zuid,Interwijkverbinding station Culemborg,Tjebbe Ruskamp,Stationsprojecten,139355.55,139355.55,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-606900,Midden,Transfer,Noord-Oost,Leeuwarden Middelsee,Tjebbe Ruskamp,Stationsprojecten,487676.3,410817.8,0.8423985336174835,,,,,0,0.0,0.0,1,0.0,,,,0,0.0
R-607100,Laag,Beveiliging,Zuid-Holland,Leiden Haagweg Morsweg herinrichting ove,Boedi Diepersloot,Zuid-Holland,582954.9,74036.5,0.1270021059948205,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-635400,Midden,,Zuid-Holland,Loskoppelen Emplacement IJsselmonde,André Hagen,Zuid-Holland,18315.0,18315.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-629500,Midden,,Zuid,Maastricht herinrichting emplacement NW,Miel Stroucken,Zuid,26981.0,26981.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-596300,Laag,Civiel,Zee-Zevenaar,Neste leidingbrug,Maurice Beekhuizen,Zee-Zevenaar,49116.0,49116.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-600098,Laag,Overig,Landelijk,Niet MJPG scope,Annelies Copier - van der Kroon,Landelijk,9483.01,9483.01,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-629400,Laag,,Randstad-Noord,NS Zandvoort dichtleggen spoorbak F1,Martha Meerburg - Pasterkamp,Randstad-Noord,23362.09,43547.5,1.864024151948734,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-594800,Midden,Civiel,Zuid,Odg Willem Dreesweg Roosendaal,Martijn Smulders,Zuid,358790.5,164774.5,0.4592498965273607,2030-12-30,2030-12-15,False,-15.0,0,0.0,0.0,2,8.0,4.0,,,0,0.0
R-594600,Laag,Civiel,Randstad-Noord,Onderdoorgang Helderseweg,Ron Nijman,Randstad-Noord,484265.87,446017.87,0.9210185925347165,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-607200,Midden,Multi B,Randstad-Noord,Onderdoorgang Hoorn,Ron Nijman,Randstad-Noord,128054.25,117813.25,0.9200260826954201,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-609700,Laag,,Landelijk,Ondersteuning NS bij UHP's en TC's,Johan Meijndert,O&P Landelijk,18105.0,18105.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-619000,Laag,,Zuid,Ongelijkvloerse Kruising Heihoeksingel,Melany Hollenga,Zuid,15580.0,14026.0,0.9002567394094994,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-619100,Laag,,Zuid,Ongelijkvloerse Kruising Ravenstein,Melany Hollenga,Zuid,16130.0,14740.0,0.9138251704897706,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-627700,Laag,,Zee-Zevenaar,Ontgraving havengebied - Britned,Bernadette Paping - Geertman,Zee-Zevenaar,11256.0,11256.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-594700,Midden,Transfer,Randstad-Noord,Ontwikkeling stationsgebied Alkmaar,Maarten Mulder,Randstad-Noord,5721.5,5721.5,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-619600,Midden,,Zee-Zevenaar,overweg fietsers Propaanweg,Vivian van Poppel,Zee-Zevenaar,74882.5,61552.729999999996,0.8219908523353253,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-604900,Midden,Baan,Zuid,Overweg Kattestraat,Mireille Arntz,Zuid,304907.0,226289.6,0.742159412542185,2028-12-02,2028-12-02,True,0.0,0,0.0,0.0,1,0.0,,,,0,0.0
R-604100,Midden,Beveiliging,Zuid,Overweg Nieuwe Kraaijertsedijk,Corina Besamusca - van Zuilen,Zuid,14536.0,14536.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-608200,Midden,Beveiliging,Zuid,Overweg Plantagebaan,Mireille Arntz,Zuid,12654.5,12654.5,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-604600,Midden,Beveiliging,Zuid,Overweg Van Cittersweg,Corina Besamusca - van Zuilen,Zuid,12204.0,12204.0,1.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
R-596100,Midden,Overig,Randstad-Noord,"PACS, Commercie Oosttunnel (R-3AE043)",Mariëlle van den Bovenkamp,GSPP,15320919.01,0.0,0.0,,,,,0,0.0,0.0,0,0.0,,,,0,0.0
